VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 1347120     10 0.17955 0.17955 39.63858  0.14550  0.00000  0.08553
SN: 1303496     10 0.17978 0.17978 39.58105  0.13660  0.00000  0.03115
SN: 1339392     10 0.18148 0.18148 39.57449  0.14120  0.00000  0.02816
SN: 1257695     10 0.18383 0.18383 39.80354  0.12540  0.00000  0.04855
SN: 1296321     10 0.18444 0.18444 40.02327  0.14260  0.00000  0.04652
SN: 1891241     10 0.18958 0.18958 39.78120  0.12600  0.00000  0.02930
SN: 1279450     10 0.19264 0.19264 40.05152  0.15940  0.00000  0.02533
SN: 1879208     10 0.19471 0.19471 39.91539  0.13310  0.00000  0.03643
SN: 1253920     10 0.19556 0.19556 39.82533  0.13000  0.00000  0.02750
SN: 1872027     10 0.19633 0.19633 40.34629  0.15800  0.00000  0.06000
SN: 1782065     10 0.20174 0.20174 39.84905  0.14620  0.00000  0.02856
SN: 1265657     10 0.20647 0.20647 39.91037  0.13840  0.00000  0.02472
SN: 1327978     10 0.20699 0.20699 39.89182  0.16720  0.00000  0.02889
SN: 1283373     10 0.20753 0.20753 40.09782  0.14490  0.00000  0.02559
SN: 1315197     10 0.20824 0.20824 40.04483  0.14620  0.00000  0.02679
SN: 1324509     10 0.21062 0.21062 39.95755  0.14790  0.00000  0.04247
SN: 1791048     10 0.21095 0.21095 40.16779  0.22910  0.00000  0.03896
SN: 1257366     10 0.21136 0.21136 40.19971  0.14360  0.00000  0.03882
SN: 1887027     10 0.21303 0.21303 40.14892  0.13850  0.00000  0.03879
SN: 1371126     10 0.21601 0.21601 40.38239  0.16600  0.00000  0.03190
SN: 1304442     10 0.21711 0.21711 40.24718  0.16510  0.00000  0.02289
SN: 1282114     10 0.21781 0.21781 40.12720  0.17690  0.00000  0.03342
SN: 1313230     10 0.21793 0.21793 40.06269  0.13710  0.00000  0.03258
SN: 1304678     10 0.21884 0.21884 40.17793  0.16690  0.00000  0.04074
SN: 1250912     10 0.21898 0.21898 40.40940  0.15310  0.00000  0.03913
SN: 1302187     10 0.21942 0.21942 40.14939  0.15840  0.00000  0.02368
SN: 1867019     10 0.22101 0.22101 40.41637  0.14220  0.00000  0.03375
SN: 1324368     10 0.22143 0.22143 40.20207  0.14530  0.00000  0.03228
SN: 1331123     10 0.22157 0.22157 40.30678  0.14140  0.00000  0.02277
SN: 1259246     10 0.22285 0.22285 40.02125  0.14550  0.00000  0.06764
SN: 1249137     10 0.22306 0.22306 40.27665  0.13920  0.00000  0.02926
