VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC
SN: 2008fr      65 0.03828 0.03828 36.31320  0.12250  0.04820
SN: SN2017ciy  150 0.03834 0.03834 36.35820  0.13100  0.04810
SN: 2009bv      65 0.03848 0.03848 36.36660  0.12690  0.04790
SN: 2008051     65 0.03873 0.03873 36.24260  0.12550  0.04760
SN: ASASSN-15np 150 0.03884 0.03884 36.18360  0.12300  0.04750
SN: 2010dw      66 0.03902 0.03902 36.18240  0.12950  0.04730
SN: ASASSN-15pn 150 0.03909 0.03909 36.49010  0.12340  0.04720
SN: 2003fa      63 0.04056 0.04056 36.25830  0.12430  0.04550
SN: SN2016glz  150 0.04077 0.04077 36.27190  0.12020  0.04530
SN: PS16axi    150 0.04089 0.04089 36.27360  0.12140  0.04520
SN: SN2017coa  150 0.04095 0.04095 36.53940  0.12640  0.04510
SN: 2009do      65 0.04099 0.04099 36.20730  0.12490  0.04510
SN: 2001az      63 0.04101 0.04101 36.47740  0.12930  0.04500
SN: 2006cf      64 0.04268 0.04268 36.42580  0.12920  0.04330
SN: AT2016htm  150 0.04289 0.04289 36.49590  0.11740  0.04310
SN: 2007kk      65 0.04292 0.04292 36.29220  0.13070  0.04310
SN: ASASSN-16ct 150 0.04306 0.04306 36.34170  0.12090  0.04290
SN: SN2016ayg  150 0.04349 0.04349 36.56580  0.12060  0.04250
SN: MASTERJ0134 150 0.04369 0.04369 36.45310  0.12230  0.04230
SN: 2007nq      65 0.04374 0.04374 36.41090  0.12190  0.04230
SN: ASASSN-15mg 150 0.04408 0.04408 36.54440  0.12050  0.04200
SN: AT2016cvv  150 0.04438 0.04438 36.61150  0.11770  0.04170
SN: 2005ku       5 0.04439 0.04439 36.46770  0.12080  0.04170
SN: 2006hx       5 0.04487 0.04487 36.43800  0.12480  0.04120
SN: PSNJ1204051 150 0.04545 0.04545 36.68550  0.12200  0.04070
SN: 2005hc      64 0.04575 0.04575 36.68130  0.11860  0.04050
SN: SN2016esh  150 0.04583 0.04583 36.44210  0.12520  0.04040
SN: PS17tn     150 0.04590 0.04590 36.48340  0.11480  0.04030
SN: AT2016ews  150 0.04631 0.04631 36.75980  0.11890  0.04000
SN: 2005lz      64 0.04653 0.04653 36.48980  0.12520  0.03980
SN: 2004gu       5 0.04664 0.04664 36.65950  0.12130  0.03970
SN: 2016afk    150 0.04738 0.04738 36.66790  0.11470  0.03910
SN: PS16fa     150 0.04760 0.04760 36.71040  0.11560  0.03890
SN: PS15aii    150 0.04777 0.04777 36.75440  0.11590  0.03880
SN: PS17akj    150 0.04777 0.04777 36.70200  0.12220  0.03880
SN: ATLAS16agv 150 0.04819 0.04819 36.63890  0.11620  0.03850
SN: ASASSN-15pm 150 0.04837 0.04837 36.76590  0.11490  0.03830
SN: AT2016gmg  150 0.04865 0.04865 36.83270  0.12450  0.03810
SN: PS16el     150 0.04940 0.04940 36.79150  0.11750  0.03750
SN: 2006cq      64 0.04944 0.04944 36.90390  0.13190  0.03750
SN: PS15asb    150 0.04989 0.04989 36.64040  0.11720  0.03720
SN: PS16dnp    150 0.05023 0.05023 37.01170  0.11830  0.03690
SN: ASASSN-17eb 150 0.05044 0.05044 36.60760  0.12350  0.03680
SN: PS15brr    150 0.05049 0.05049 36.74910  0.11830  0.03670
SN: 2008hu       5 0.05052 0.05052 36.86750  0.11970  0.03670
SN: PS16fbb    150 0.05106 0.05106 36.86650  0.12030  0.03630
SN: ASASSN-16hc 150 0.05151 0.05151 36.83370  0.11700  0.03600
SN: AT2016htn  150 0.05222 0.05222 37.01510  0.11740  0.03560
SN: PS16evk    150 0.05262 0.05262 37.09370  0.12410  0.03530
